name,trim_name,trim,category,tier,deprec_5yr,deprec_source,price,price_year,observed_price,observed_price_odometer,price_source,msrp_source,msrp_trim,msrp_year,msrp,mpg,fuel,tire_class,heavy,gvwr_note,odds_250k,odds_study,quality,longevity,reliability,comfort,db55,db_measured,transmission,engine,longevity_source,risk,complaint_severity_share,complaint_n,complaint_years
Chevrolet Tahoe,,unspecified,Full-size BOF SUV,1,0.453,iSeeCars 2026,46000,,,,,,,,,19.5,Gas,Truck,true,Yes,7.7%,2025 (base 4.8%),90.2,56.8,45.6,63.4,54.5,true,GM 10L80 10-speed,Naturally aspirated V8,iSeeCars 2025 (base 4.8%),5.3L AFM lifter/cam failure; 10L80 valve body. GM 10-spd more reliable than Ford's.,0.7568,740,2019|2021|2023
Chevrolet Tahoe 3.0L Duramax,,unspecified,Full-size BOF SUV,1,0.453,iSeeCars 2026,48000,,,,,,,,,27,Diesel,Truck,true,Yes,7.7%,2025 (base 4.8%),87.2,56.8,57.6,63.4,54.5,true,GM 10L80 10-speed,Diesel,iSeeCars 2025 (base 4.8%),CAUTION: at Indiana prices ($5.35 diesel vs $3.55 gas) the diesel costs MORE per mile to fuel than the gas V8 despite 27 vs 19.5 mpg. Only wins if the diesel premium narrows below ~$1.15/gal.,,,
Chevrolet Suburban,,unspecified,Full-size BOF SUV,1,0.556,iSeeCars 2025,45000,,,,,,,,,19,Gas,Truck,true,Yes,11.8%,2025 (base 4.8%),90.2,67.5,45.6,64.4,54.4,true,GM 10L80 10-speed,Naturally aspirated V8,iSeeCars 2025 (base 4.8%),Same 5.3L AFM lifter risk as Tahoe.,0.7550,298,2021|2023
GMC Yukon,,unspecified,Full-size BOF SUV,1,0.48,iSeeCars 2026,49000,,,,,,,,,19,Gas,Truck,true,Yes,7.8%,2025 (base 4.8%),90.2,57.1,29.0,63.4,54.5,true,GM 10L80 10-speed,Naturally aspirated V8,iSeeCars 2025 (base 4.8%),Same AFM lifter risk. GMC badge premium over Tahoe.,0.8713,567,2019|2021|2023
GMC Yukon XL,,unspecified,Full-size BOF SUV,1,0.48,iSeeCars 2026,50000,,,,,,,,,19,Gas,Truck,true,Yes,9.0%,2025 (base 4.8%),90.2,60.7,29.0,63.4,54.5,true,GM 10L80 10-speed,Naturally aspirated V8,iSeeCars 2025 (base 4.8%),Same AFM lifter risk.,0.8651,393,2021|2023
Ford Expedition,,unspecified,Full-size BOF SUV,2,0.6,iSeeCars 2025,43000,,,,,,,,,18.5,Gas,Truck,true,Yes,19.9%,2023 (base 11.8%),50.2,58.1,52.7,64.4,54.4,true,Ford 10R80 10-speed,Twin-turbo V6,iSeeCars 2023 (base 11.8%),Gen2 3.5 EcoBoost cam-phaser rattle 2018+ ($3.5k-$5.5k) AND 10R80 10-speed. Two known risks stacked.,0.7010,766,2019|2021|2023
Toyota Sequoia (pre-2023 5.7 V8),,unspecified,Full-size BOF SUV,1,0.42,segment est.,46000,,,,,Cars.com,base (current gen proxy),2026,65725,15.5,Gas,Truck,true,Yes,39.1%,2025 (base 4.8%),95.5,97.4,100,52.3,55.7,true,Conventional automatic,Naturally aspirated V8,iSeeCars 2025 (base 4.8%),"#1 longest-lasting vehicle in the 2025 study, 8x the industry average. Worst fuel economy here.",0.4545,11,2019|2021
Nissan Armada,,unspecified,Full-size BOF SUV,2,0.6,iSeeCars 2025,32000,,,,,,,,,17,Gas,Truck,true,Yes,5.8%,2025 (base 4.8%),77.5,49.7,86.4,58.8,55.0,true,Conventional automatic,Naturally aspirated V8,iSeeCars 2025 (base 4.8%),"5.6L V8 + 7-spd conventional, NOT a CVT. Durable but weak resale - that's the cheap-buy opening.",0.7253,91,2019|2021|2023
Cadillac Escalade,,unspecified,Full-size BOF SUV,3,0.618,iSeeCars 2025,70000,2023,70777,40000,"CARFAX 70,777 / CarGurus 69,664 (1,852) / Cars.com 74,948; median taken",TrueCar/Edmunds,base w/ destination,2026,93695,17,Gas,Truck,true,Yes,6.8%,2025 ESV (base 4.8%),54.2,53.7,44.1,54.2,55.5,true,GM 10L80 10-speed,Naturally aspirated V8,iSeeCars 2025 ESV (base 4.8%),Luxury depreciation plus air suspension and electronics. Wrong tool at this mileage.,0.8767,227,2019|2021|2023
Jeep Grand Wagoneer,,unspecified,Full-size BOF SUV,3,0.56,estimate,54000,2023,53350,40000,"Cars.com 52,878 / CarGurus 53,357 / CARFAX 53,820; median taken",TrueCar/Edmunds,base w/ destination,2026,87040,16.5,Gas,Truck,true,Yes,n/a,not available,55.2,45.3,28.4,31.0,58.0,true,ZF 8HP 8-speed,Turbocharged inline-6,estimated from build quality (no study data),"New platform, thin high-mileage data, luxury electronics risk.",0.7045,44,2021|2023
Jeep Grand Cherokee,,unspecified,Mid-size SUV,2,0.51,2025 segment,32000,,,,,,,,,23,Gas,Crossover,true,Yes,n/a,not available,79.2,64.9,30.4,64.8,55.0,false,ZF 8HP 8-speed,Naturally aspirated V6,estimated from build quality (no study data),ZF 8HP is strong BUT flush it at 60k - Jeep calls it lifetime fill. 2021+ WL 850RE early clutch faults.,0.7330,1135,2019|2021|2023
Jeep Grand Cherokee L,,unspecified,3-row crossover,2,0.51,2025 segment,38000,,,,,,,,,22.5,Gas,Crossover,true,Yes,n/a,not available,79.2,64.9,30.4,64.8,55.0,false,ZF 8HP 8-speed,Naturally aspirated V6,estimated from build quality (no study data),Same ZF 8HP / 850RE concerns as Grand Cherokee.,0.7190,153,2021|2023
Jeep Cherokee,,unspecified,Compact crossover,3,0.51,2025 segment,21000,,,,,,,,,25,Gas,Crossover,false,No,n/a,not available,33.2,27.2,17.4,41.7,57.5,false,ZF 9HP 9-speed,Naturally aspirated V6,estimated from build quality (no study data),"ZF 9HP 9-speed: 7,000+ complaints on 2014-15 alone, 82k-unit recall. Bad 180k bet.",0.8538,1765,2019|2021|2023
Jeep Compass,,unspecified,Compact crossover,3,0.51,2025 segment,19000,,,,,,,,,27,Gas,Crossover,false,No,n/a,not available,31.9,26.2,17.4,32.4,58.5,false,ZF 9HP 9-speed,Naturally aspirated I4,estimated from build quality (no study data),Same ZF 9-speed through 2022. Underpowered 2.4L Tigershark.,0.7803,446,2019|2021|2023
Jeep Gladiator,,unspecified,Midsize truck,2,0.356,iSeeCars 2025,34000,,,,,,,,,21,Gas,Truck,true,Yes,n/a,not available,79.2,64.9,42.4,0,62.0,false,ZF 8HP 8-speed,Naturally aspirated V6,estimated from build quality (no study data),"3.6L Pentastar solid, solid axles durable. Death-wobble reports.",0.8158,342,2019|2021|2023
Jeep Wrangler,,unspecified,Midsize SUV,2,0.324,iSeeCars 2025,32000,,,,,,,,,18,Gas,Truck,true,Yes (4-door),4.5%,2025 Unltd (base 4.8%),79.2,43.4,42.4,0,61.5,true,ZF 8HP 8-speed,Naturally aspirated V6,iSeeCars 2025 Unltd (base 4.8%),"Elite resale on demand, not reliability. Death wobble, oil leaks.",0.8688,1967,2019|2021|2023
Jeep Wrangler 4xe,,unspecified,Midsize SUV (PHEV),3,0.51,estimate,35000,,,,,,,,,20.5,Plug-in hybrid,Truck,true,Yes,n/a,not available,52.6,43.1,26.4,0,61.0,true,ZF 8HP 8-speed,Plug-in hybrid + turbo,estimated from build quality (no study data),"Turbo 2.0L + PHEV electronics, unproven at 180k. Early build issues.",,,
Ford Explorer,,unspecified,3-row crossover,3,0.51,2025 segment,32000,,,,,,,,,26,Gas,Crossover,true,Yes,n/a,not available,33.2,27.2,50.7,46.3,57.0,true,Ford 10R80 10-speed,Turbocharged four,estimated from build quality (no study data),"10R80 10-speed rebuild $3,800-$5,200. 2.3L rear-main-seal warped retainer plate.",0.4446,803,2019|2021|2023
Chevrolet Traverse,,unspecified,3-row crossover,2,0.51,2025 segment,31000,,,,,,,,,25,Gas,Crossover,false,Verify,n/a,not available,77.5,63.5,51.6,65.7,54.9,true,Conventional automatic,Naturally aspirated V6,estimated from build quality (no study data),"3.6L V6 timing-chain stretch $2,000-$3,500; water pump $1,080-$1,668. 2024+ 2.5T unproven.",0.7496,571,2019|2021|2023
